scholar_id,url_picture,name,affiliation,email_domain,interests,citedby,Country Ranking,World Rank,Country,Institution
Y8FpsToAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=Y8FpsToAAAAJ,Sallie W Chisholm,"Institute Professor, Massachusetts Institute of Technology",@mit.edu,"['Oceanography', 'Microbiology', 'Ecology']",48270,1,1,USA,Massachusetts Institute of Technology - MIT
BJvsP0EAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=BJvsP0EAAAAJ,Sylvia Biscoveanu,"PhD Student, Massachusetts Institute of Technology",@mit.edu,"['gravitational waves', 'compact binary mergers', 'stochastic gravitational-wave backgrounds']",48014,1,1,USA,Massachusetts Institute of Technology - MIT
_8jOleEAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=_8jOleEAAAAJ,Ronald T. Raines,"Firmenich Professor of Chemistry, Massachusetts Institute of Technology",@mit.edu,"['chemical biology', 'protein chemistry', 'enzymology', 'biofuels']",47933,1,1,USA,Massachusetts Institute of Technology - MIT
hWBTSksAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=hWBTSksAAAAJ,Markus J. Buehler,Massachusetts Institute of Technology,@MIT.EDU,"['Materials science', 'computational mechanics', 'biomaterials', 'deformation', 'failure']",46383,1,1,USA,Massachusetts Institute of Technology - MIT
qRd8Hh4AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=qRd8Hh4AAAAJ,Moe Z. Win,"… Jet Propulsion Laboratory, AT&T Research Labs, Massachusetts Institute of Technology  …",@mit.edu,"['Statistical Inference', 'Wireless Systems', 'UWB', 'Localization', 'Quantum Information Science']",46189,1,1,USA,Massachusetts Institute of Technology - MIT
gX7rSCcAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=gX7rSCcAAAAJ,Jonathan P. How,"… C. Maclaurin Professor of Aerospace Engineering, Massachusetts Institute of Technology",@mit.edu,"['Control systems', 'Multi-agent systems', 'Aerial Robotics', 'Sensor Fusion', 'Autonomous Driving']",44728,1,1,USA,Massachusetts Institute of Technology - MIT
LS8ZyFQAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=LS8ZyFQAAAAJ,T. Alan Hatton,Massachusetts Institute of Technology,@mit.edu,"['Chemical Engineering', 'Energy', 'Environment', 'Nanoparticles', 'Colloids']",43439,1,1,USA,Massachusetts Institute of Technology - MIT
VqHtUUcAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=VqHtUUcAAAAJ,Mark Vogelsberger,Massachusetts Institute of Technology,@mit.edu,['Astrophysics'],43383,1,1,USA,Massachusetts Institute of Technology - MIT
cp5X0a0AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=cp5X0a0AAAAJ,Richard Schmalensee,Massachusetts Institute of Technology,@mit.edu,"['Industrial Organization', 'Energy', 'Environment', 'Antitrust']",41089,1,1,USA,Massachusetts Institute of Technology - MIT
4bHLr_IAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=4bHLr_IAAAAJ,Xuanhe Zhao (赵选贺),"Professor, Massachusetts Institute of Technology",@mit.edu,"['solid mechanics', 'soft materials', 'hydrogels', 'bioadhesives', 'bioelectronics']",40700,1,1,USA,Massachusetts Institute of Technology - MIT
GANsK9MAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=GANsK9MAAAAJ,Dev Kumar Aadil,"Harvard University,  Massachusetts Institute of Technology, Stanford University",@g.harvard.edu,"['Nanotechnology', 'Polymers']",39597,1,1,USA,Massachusetts Institute of Technology - MIT
xyXF27EAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=xyXF27EAAAAJ,Michael J. Cima,"Professor, Massachusetts Institute of Technology",@mit.edu,[],39496,1,1,USA,Massachusetts Institute of Technology - MIT
lZ-zpSsAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=lZ-zpSsAAAAJ,Shuguang Zhang,Massachusetts Institute of Technology,@mit.edu,"['peptides', 'proteins']",38693,1,1,USA,Massachusetts Institute of Technology - MIT
YsZ6EjkAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=YsZ6EjkAAAAJ,EA Fitzgerald,"Cornell, ATT, MIT, Massachusetts Institute of Technology, NTU",@mit.edu,"['Materials', 'Electrical Engineering', 'Physics', 'Innovation']",37154,1,1,USA,Massachusetts Institute of Technology - MIT
